date,year,quarter,month,day,month_name,week,day_of_week,day_name
2026-03-04,2026,1,3,4,March,10,2,Wednesday
2026-03-05,2026,1,3,5,March,10,3,Thursday
2026-03-06,2026,1,3,6,March,10,4,Friday
2026-03-09,2026,1,3,9,March,11,0,Monday
2026-03-11,2026,1,3,11,March,11,2,Wednesday
2026-03-12,2026,1,3,12,March,11,3,Thursday
2026-03-13,2026,1,3,13,March,11,4,Friday
2026-03-17,2026,1,3,17,March,12,1,Tuesday
2026-03-18,2026,1,3,18,March,12,2,Wednesday
2026-03-19,2026,1,3,19,March,12,3,Thursday
2026-03-20,2026,1,3,20,March,12,4,Friday
2026-03-21,2026,1,3,21,March,12,5,Saturday
2026-03-22,2026,1,3,22,March,12,6,Sunday
2026-03-23,2026,1,3,23,March,13,0,Monday
2026-03-24,2026,1,3,24,March,13,1,Tuesday
2026-03-25,2026,1,3,25,March,13,2,Wednesday
2026-03-26,2026,1,3,26,March,13,3,Thursday
2026-03-27,2026,1,3,27,March,13,4,Friday
2026-03-28,2026,1,3,28,March,13,5,Saturday
2026-03-29,2026,1,3,29,March,13,6,Sunday
2026-03-30,2026,1,3,30,March,14,0,Monday
2026-03-31,2026,1,3,31,March,14,1,Tuesday
2026-04-01,2026,2,4,1,April,14,2,Wednesday
2026-04-02,2026,2,4,2,April,14,3,Thursday
2026-04-03,2026,2,4,3,April,14,4,Friday
2026-04-04,2026,2,4,4,April,14,5,Saturday
2026-04-05,2026,2,4,5,April,14,6,Sunday
